corruption,severity,alpha,delta,coverage_standard,coverage_gap_standard,avg_set_size_standard,gate_trigger_rate,gate_threshold,energy_mean,energy_std,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,ess_ratio,max_weight,mean_weight,std_weight,safe_to_weight,mode
brightness,4,0.05,0.05,0.9432,-0.006799999999999917,1.3511,0.0679,-5.355030059814453,-9.746201515197754,2.918297290802002,0.9397,-0.010299999999999976,1.3305,0.9361,-0.013899999999999912,1.325,0.4603343673571287,5.235411828248055,1.0,1.0827437394233994,1,weighted
brightness,4,0.05,0.1,0.9432,-0.006799999999999917,1.3511,0.1339,-6.272093772888184,-9.746201515197754,2.918297290802002,0.9397,-0.010299999999999976,1.3305,0.9361,-0.013899999999999912,1.325,0.4603343673571287,5.235411828248055,1.0,1.0827437394233994,1,weighted
brightness,5,0.1,0.05,0.8814,-0.01860000000000006,1.2312,0.0938,-5.355030059814453,-9.197781562805176,2.8314480781555176,0.874,-0.026000000000000023,1.2164,0.8727,-0.02729999999999999,1.2216,0.3119807779715084,6.270489996640123,1.0,1.4850338993601064,1,weighted
brightness,5,0.1,0.1,0.8814,-0.01860000000000006,1.2312,0.1742,-6.272093772888184,-9.197781562805176,2.8314480781555176,0.874,-0.026000000000000023,1.2164,0.8727,-0.02729999999999999,1.2216,0.3119807779715084,6.270489996640123,1.0,1.4850338993601064,1,weighted
brightness,5,0.05,0.05,0.9351,-0.014899999999999913,1.4415,0.0938,-5.355030059814453,-9.197781562805176,2.8314480781555176,0.9336,-0.01639999999999997,1.4452,0.9331,-0.016899999999999915,1.4451,0.3119807779715084,6.270489996640123,1.0,1.4850338993601064,1,weighted
brightness,5,0.05,0.1,0.9351,-0.014899999999999913,1.4415,0.1742,-6.272093772888184,-9.197781562805176,2.8314480781555176,0.9336,-0.01639999999999997,1.4452,0.9331,-0.016899999999999915,1.4451,0.3119807779715084,6.270489996640123,1.0,1.4850338993601064,1,weighted
jpeg_compression,1,0.1,0.05,0.8632,-0.036800000000000055,1.2879,0.1077,-5.355030059814453,-8.79010009765625,2.767601490020752,0.8715,-0.02849999999999997,1.3155,0.8675,-0.03249999999999997,1.3127,0.42562578918183436,5.177893637036015,1.0,1.161671938881235,1,weighted
jpeg_compression,1,0.1,0.1,0.8632,-0.036800000000000055,1.2879,0.2048,-6.272093772888184,-8.79010009765625,2.767601490020752,0.8715,-0.02849999999999997,1.3155,0.8675,-0.03249999999999997,1.3127,0.42562578918183436,5.177893637036015,1.0,1.161671938881235,1,weighted
jpeg_compression,1,0.05,0.05,0.9206,-0.02939999999999998,1.5251,0.1077,-5.355030059814453,-8.79010009765625,2.767601490020752,0.9282,-0.02179999999999993,1.5749,0.9261,-0.02389999999999992,1.5736,0.42562578918183436,5.177893637036015,1.0,1.161671938881235,1,weighted
jpeg_compression,1,0.05,0.1,0.9206,-0.02939999999999998,1.5251,0.2048,-6.272093772888184,-8.79010009765625,2.767601490020752,0.9282,-0.02179999999999993,1.5749,0.9261,-0.02389999999999992,1.5736,0.42562578918183436,5.177893637036015,1.0,1.161671938881235,1,weighted
jpeg_compression,2,0.1,0.05,0.8498,-0.05020000000000002,1.3924,0.1467,-5.355030059814453,-8.173877716064453,2.630053997039795,0.8623,-0.03770000000000007,1.4378,0.8566,-0.043399999999999994,1.4331,0.3322041785951202,5.9553680644032205,1.0,1.4178141395804589,1,weighted
jpeg_compression,2,0.1,0.1,0.8498,-0.05020000000000002,1.3924,0.2674,-6.272093772888184,-8.173877716064453,2.630053997039795,0.8623,-0.03770000000000007,1.4378,0.8566,-0.043399999999999994,1.4331,0.3322041785951202,5.9553680644032205,1.0,1.4178141395804589,1,weighted
jpeg_compression,2,0.05,0.05,0.9094,-0.04059999999999997,1.6835,0.1467,-5.355030059814453,-8.173877716064453,2.630053997039795,0.9188,-0.031200000000000006,1.754,0.9137,-0.0363,1.7478,0.3322041785951202,5.9553680644032205,1.0,1.4178141395804589,1,weighted
jpeg_compression,2,0.05,0.1,0.9094,-0.04059999999999997,1.6835,0.2674,-6.272093772888184,-8.173877716064453,2.630053997039795,0.9188,-0.031200000000000006,1.754,0.9137,-0.0363,1.7478,0.3322041785951202,5.9553680644032205,1.0,1.4178141395804589,1,weighted
jpeg_compression,3,0.1,0.05,0.8399,-0.06010000000000004,1.4367,0.1645,-5.355030059814453,-7.983991622924805,2.591860294342041,0.853,-0.04700000000000004,1.4914,0.8531,-0.04690000000000005,1.4916,0.30822983684687094,6.283604233470504,1.0,1.4981095586415818,1,weighted
jpeg_compression,3,0.1,0.1,0.8399,-0.06010000000000004,1.4367,0.2918,-6.272093772888184,-7.983991622924805,2.591860294342041,0.853,-0.04700000000000004,1.4914,0.8531,-0.04690000000000005,1.4916,0.30822983684687094,6.283604233470504,1.0,1.4981095586415818,1,weighted
jpeg_compression,3,0.05,0.05,0.9023,-0.047699999999999965,1.7438,0.1645,-5.355030059814453,-7.983991622924805,2.591860294342041,0.9174,-0.03259999999999996,1.8527,0.916,-0.03399999999999992,1.8549,0.30822983684687094,6.283604233470504,1.0,1.4981095586415818,1,weighted
jpeg_compression,3,0.05,0.1,0.9023,-0.047699999999999965,1.7438,0.2918,-6.272093772888184,-7.983991622924805,2.591860294342041,0.9174,-0.03259999999999996,1.8527,0.916,-0.03399999999999992,1.8549,0.30822983684687094,6.283604233470504,1.0,1.4981095586415818,1,weighted
jpeg_compression,4,0.1,0.05,0.8317,-0.06830000000000003,1.4812,0.1846,-5.355030059814453,-7.791245460510254,2.5573370456695557,0.8506,-0.0494,1.5755,0.8292,-0.07079999999999997,1.4824,0.2831068090866655,6.716414940455792,1.0,1.591300027593373,0,ess
jpeg_compression,4,0.1,0.1,0.8317,-0.06830000000000003,1.4812,0.3198,-6.272093772888184,-7.791245460510254,2.5573370456695557,0.8506,-0.0494,1.5755,0.8292,-0.07079999999999997,1.4824,0.2831068090866655,6.716414940455792,1.0,1.591300027593373,0,ess
jpeg_compression,4,0.05,0.05,0.8899,-0.06009999999999993,1.8035,0.1846,-5.355030059814453,-7.791245460510254,2.5573370456695557,0.9086,-0.04139999999999999,1.9481,0.8876,-0.06240000000000001,1.8057,0.2831068090866655,6.716414940455792,1.0,1.591300027593373,0,ess
jpeg_compression,4,0.05,0.1,0.8899,-0.06009999999999993,1.8035,0.3198,-6.272093772888184,-7.791245460510254,2.5573370456695557,0.9086,-0.04139999999999999,1.9481,0.8876,-0.06240000000000001,1.8057,0.2831068090866655,6.716414940455792,1.0,1.591300027593373,0,ess
jpeg_compression,5,0.1,0.05,0.8152,-0.08479999999999999,1.5481,0.2093,-5.355030059814453,-7.507603168487549,2.4596810340881348,0.8348,-0.06520000000000004,1.6329,0.8081,-0.09189999999999998,1.5446,0.24460362775177436,7.5101329279919895,1.0,1.7573408338853038,0,ess
jpeg_compression,5,0.1,0.1,0.8152,-0.08479999999999999,1.5481,0.3543,-6.272093772888184,-7.507603168487549,2.4596810340881348,0.8348,-0.06520000000000004,1.6329,0.8081,-0.09189999999999998,1.5446,0.24460362775177436,7.5101329279919895,1.0,1.7573408338853038,0,ess
jpeg_compression,5,0.05,0.05,0.8792,-0.07079999999999997,1.8957,0.2093,-5.355030059814453,-7.507603168487549,2.4596810340881348,0.9011,-0.048899999999999944,2.0592,0.877,-0.07299999999999995,1.8959,0.24460362775177436,7.5101329279919895,1.0,1.7573408338853038,0,ess
jpeg_compression,5,0.05,0.1,0.8792,-0.07079999999999997,1.8957,0.3543,-6.272093772888184,-7.507603168487549,2.4596810340881348,0.9011,-0.048899999999999944,2.0592,0.877,-0.07299999999999995,1.8959,0.24460362775177436,7.5101329279919895,1.0,1.7573408338853038,0,ess
