method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,min_weight,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS-stabilized,motion_blur,1,0.1,0.9,0.9214879870414734,0.93170565366745,0.93170565366745,0.8664,-0.033600000000000074,1.2729,0.8734,-0.026600000000000068,1.3097,0.8735,-0.026499999999999968,1.3112,1,weighted,1593.1871582274189,0.31863743164548375,0.0013758761357829659,6.166130374979873,1.0,1.4623143412345665,0.31448210780856645,0.24352489560374868
WCP-RAPS-stabilized,motion_blur,1,0.05,0.95,0.9687336683273315,0.9748348593711853,0.9748348593711853,0.9232,-0.026799999999999935,1.5083,0.9275,-0.022499999999999964,1.5593,0.9276,-0.022399999999999975,1.5539,1,weighted,1593.1871582274189,0.31863743164548375,0.0013758761357829659,6.166130374979873,1.0,1.4623143412345665,0.31448210780856645,0.24352489560374868
WCP-RAPS-stabilized,motion_blur,2,0.1,0.9,0.9214879870414734,0.9433304071426392,0.9214879870414734,0.8065,-0.09350000000000003,1.4473,0.8339,-0.06610000000000005,1.5696,0.8003,-0.09970000000000001,1.4405,0,ess,872.0060145390427,0.17440120290780853,0.00019945571792658506,9.97178861773962,1.0000000000000002,2.175753985414769,0.18617370511443176,0.24265357498534054
WCP-RAPS-stabilized,motion_blur,2,0.05,0.95,0.9687336683273315,0.9768035411834717,0.9687336683273315,0.8715,-0.0784999999999999,1.763,0.8812,-0.06879999999999997,1.8548,0.8643,-0.0857,1.7528,0,ess,872.0060145390427,0.17440120290780853,0.00019945571792658506,9.97178861773962,1.0000000000000002,2.175753985414769,0.18617370511443176,0.24265357498534054
WCP-RAPS-stabilized,motion_blur,3,0.1,0.9,0.9214879870414734,0.9476510882377625,0.9214879870414734,0.7318,-0.16820000000000002,1.5876,0.7693,-0.13070000000000004,1.7647,0.7334,-0.16659999999999997,1.5899,0,ess_and_max_weight,535.4568490916786,0.10709136981833571,0.0003075645574892132,15.376690051673211,1.0,2.887528460073233,0.11742721601495532,0.2140365981389798
WCP-RAPS-stabilized,motion_blur,3,0.05,0.95,0.9687336683273315,0.9731741547584534,0.9687336683273315,0.7999,-0.1500999999999999,1.9629,0.8115,-0.13849999999999996,2.0255,0.8007,-0.1493,1.9617,0,ess_and_max_weight,535.4568490916786,0.10709136981833571,0.0003075645574892132,15.376690051673211,1.0,2.887528460073233,0.11742721601495532,0.2140365981389798
WCP-RAPS-stabilized,motion_blur,4,0.1,0.9,0.9214879870414734,0.9444323182106018,0.9214879870414734,0.7348,-0.1652,1.5873,0.7674,-0.13260000000000005,1.7415,0.7336,-0.1664,1.5875,0,ess_and_max_weight,525.6225908655935,0.10512451817311869,0.0003096472847094921,15.480815999051059,1.0,2.917623816771238,0.11544654634077203,0.21376615551477432
WCP-RAPS-stabilized,motion_blur,4,0.05,0.95,0.9687336683273315,0.9731693863868713,0.9687336683273315,0.8051,-0.14489999999999992,1.9642,0.8139,-0.1361,2.0281,0.8061,-0.14389999999999992,1.9689,0,ess_and_max_weight,525.6225908655935,0.10512451817311869,0.0003096472847094921,15.480815999051059,1.0,2.917623816771238,0.11544654634077203,0.21376615551477432
WCP-RAPS-stabilized,motion_blur,5,0.1,0.9,0.9214879870414734,0.9491523504257202,0.9214879870414734,0.6633,-0.23670000000000002,1.6887,0.704,-0.19600000000000006,1.8882,0.667,-0.23299999999999998,1.6832,0,ess_and_max_weight,338.6423292150383,0.06772846584300765,0.0004788782563028787,23.94151842386242,1.0,3.7100998054920153,0.07500265502534724,0.18103216515224987
WCP-RAPS-stabilized,motion_blur,5,0.05,0.95,0.9687336683273315,0.9800623655319214,0.9687336683273315,0.7412,-0.20879999999999999,2.102,0.7698,-0.18019999999999992,2.2858,0.7453,-0.2047,2.1058,0,ess_and_max_weight,338.6423292150383,0.06772846584300765,0.0004788782563028787,23.94151842386242,1.0,3.7100998054920153,0.07500265502534724,0.18103216515224987
