method,corruption,severity,alpha,target_coverage,qhat_standard,qhat_weighted,qhat_final,coverage_standard,coverage_gap_standard,avg_set_size_standard,coverage_weighted,coverage_gap_weighted,avg_set_size_weighted,coverage_final,coverage_gap_final,avg_set_size_final,safe_to_weight,fallback_reason,ess,ess_ratio,max_weight,mean_weight,std_weight,domain_prob_mean,domain_prob_std
WCP-RAPS,brightness,2,0.05,0.95,0.9687336683273315,0.9574998617172241,0.9687336683273315,0.9482,-0.0017999999999999128,1.3013,0.9364,-0.013599999999999945,1.2498,0.9447,-0.005299999999999971,1.2952,0,max_weight,1510.9623092283105,0.3021924618456621,15.120094878768276,1.0,1.519588558597888,0.4266482402882519,0.22672258770255355
WCP-RAPS,brightness,3,0.1,0.9,0.9214879870414734,0.9135854244232178,0.9214879870414734,0.8896,-0.010400000000000076,1.1506,0.8857,-0.01429999999999998,1.1309,0.8919,-0.008099999999999996,1.1503,0,ess_and_max_weight,1019.3889136922885,0.2038777827384577,13.971905824287251,1.0,1.9760818126325281,0.3753837834302524,0.2616311729925721
WCP-RAPS,brightness,3,0.05,0.95,0.9687336683273315,0.9604395627975464,0.9687336683273315,0.9454,-0.0045999999999999375,1.3243,0.9379,-0.0121,1.2837,0.9437,-0.006299999999999972,1.3232,0,ess_and_max_weight,1019.3889136922885,0.2038777827384577,13.971905824287251,1.0,1.9760818126325281,0.3753837834302524,0.2616311729925721
WCP-RAPS,brightness,4,0.1,0.9,0.9214879870414734,0.9145591259002686,0.9214879870414734,0.8873,-0.012700000000000045,1.1672,0.8839,-0.016100000000000003,1.1517,0.8867,-0.013299999999999979,1.1674,0,ess_and_max_weight,734.6773140257959,0.14693546280515918,16.187773591123158,1.0,2.409503888540433,0.29958024903887914,0.2717591191662906
WCP-RAPS,brightness,4,0.05,0.95,0.9687336683273315,0.9562477469444275,0.9687336683273315,0.9413,-0.00869999999999993,1.3502,0.9301,-0.019899999999999918,1.2885,0.9404,-0.009599999999999942,1.3477,0,ess_and_max_weight,734.6773140257959,0.14693546280515918,16.187773591123158,1.0,2.409503888540433,0.29958024903887914,0.2717591191662906
WCP-RAPS,brightness,5,0.1,0.9,0.9214879870414734,0.9149460792541504,0.9214879870414734,0.8713,-0.02870000000000006,1.2233,0.8681,-0.03190000000000004,1.1984,0.8732,-0.026800000000000046,1.2242,0,ess_and_max_weight,496.0615365234628,0.09921230730469256,18.3124026045,1.0,3.0132033876643716,0.20750916757751897,0.27515828899862876
WCP-RAPS,brightness,5,0.05,0.95,0.9687336683273315,0.9687058925628662,0.9687336683273315,0.9313,-0.01869999999999994,1.4355,0.9326,-0.01739999999999997,1.4372,0.9314,-0.01859999999999995,1.4372,0,ess_and_max_weight,496.0615365234628,0.09921230730469256,18.3124026045,1.0,3.0132033876643716,0.20750916757751897,0.27515828899862876
WCP-RAPS,jpeg_compression,1,0.1,0.9,0.9214879870414734,0.940666913986206,0.9214879870414734,0.8661,-0.03390000000000004,1.2943,0.882,-0.018000000000000016,1.3588,0.8588,-0.041200000000000014,1.2848,0,ess_and_max_weight,676.8245275470193,0.13536490550940386,16.40910899407644,1.0,2.5273383492439865,0.27647985416371346,0.2794068383297519
WCP-RAPS,jpeg_compression,1,0.05,0.95,0.9687336683273315,0.9783564209938049,0.9687336683273315,0.9215,-0.02849999999999997,1.5287,0.9348,-0.015199999999999991,1.6168,0.9184,-0.03159999999999996,1.5317,0,ess_and_max_weight,676.8245275470193,0.13536490550940386,16.40910899407644,1.0,2.5273383492439865,0.27647985416371346,0.2794068383297519
WCP-RAPS,jpeg_compression,2,0.1,0.9,0.9214879870414734,0.9406106472015381,0.9214879870414734,0.8558,-0.04420000000000002,1.3997,0.8753,-0.024700000000000055,1.4879,0.8465,-0.05349999999999999,1.3937,0,ess_and_max_weight,447.3478125480914,0.08946956250961828,21.43037254334772,1.0,3.190138785071704,0.19291430104819668,0.2612282864661724
WCP-RAPS,jpeg_compression,2,0.05,0.95,0.9687336683273315,0.9812992811203003,0.9687336683273315,0.9107,-0.0393,1.6861,0.9283,-0.02169999999999994,1.8313,0.9031,-0.04689999999999994,1.6784,0,ess_and_max_weight,447.3478125480914,0.08946956250961828,21.43037254334772,1.0,3.190138785071704,0.19291430104819668,0.2612282864661724
WCP-RAPS,jpeg_compression,3,0.1,0.9,0.9214879870414734,0.9527230262756348,0.9214879870414734,0.8382,-0.06180000000000008,1.4337,0.8785,-0.021500000000000075,1.6139,0.8405,-0.0595,1.4378,0,ess_and_max_weight,412.62364208954904,0.08252472841790981,21.407433242569617,1.0000000000000002,3.334303528051871,0.17644714808586087,0.2609861477635493
WCP-RAPS,jpeg_compression,3,0.05,0.95,0.9687336683273315,0.9817889332771301,0.9687336683273315,0.9009,-0.04909999999999992,1.744,0.9233,-0.026699999999999946,1.906,0.901,-0.04899999999999993,1.7449,0,ess_and_max_weight,412.62364208954904,0.08252472841790981,21.407433242569617,1.0000000000000002,3.334303528051871,0.17644714808586087,0.2609861477635493
WCP-RAPS,jpeg_compression,4,0.1,0.9,0.9214879870414734,0.9527230262756348,0.9214879870414734,0.8308,-0.06920000000000004,1.4836,0.8696,-0.030399999999999983,1.6687,0.8292,-0.07079999999999997,1.4824,0,ess_and_max_weight,356.9842830614324,0.07139685661228648,25.75412034778987,1.0,3.606413573789645,0.1509205393406917,0.24640779146868041
WCP-RAPS,jpeg_compression,4,0.05,0.95,0.9687336683273315,0.9828258752822876,0.9687336683273315,0.8923,-0.057699999999999974,1.8146,0.9133,-0.036699999999999955,2.0015,0.8876,-0.06240000000000001,1.8057,0,ess_and_max_weight,356.9842830614324,0.07139685661228648,25.75412034778987,1.0,3.606413573789645,0.1509205393406917,0.24640779146868041
WCP-RAPS,jpeg_compression,5,0.1,0.9,0.9214879870414734,0.9547538757324219,0.9214879870414734,0.8118,-0.08820000000000006,1.545,0.8577,-0.042300000000000004,1.7566,0.8081,-0.09189999999999998,1.5446,0,ess_and_max_weight,297.4237708865184,0.05948475417730368,28.728495304011993,1.0,3.976308617078526,0.12988058809884545,0.23345187741543294
WCP-RAPS,jpeg_compression,5,0.05,0.95,0.9687336683273315,0.9848085045814514,0.9687336683273315,0.8795,-0.07050000000000001,1.9012,0.908,-0.041999999999999926,2.1323,0.877,-0.07299999999999995,1.8959,0,ess_and_max_weight,297.4237708865184,0.05948475417730368,28.728495304011993,1.0,3.976308617078526,0.12988058809884545,0.23345187741543294
